Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
1,PHO,Deandre Ayton,University of Arizona,1,56,1732,918,587,107,0.588,0,0.757,30.9,16.4,10.5,1.9,4.8,0.134,0.7,1.2
2,SAC,Marvin Bagley,Duke University,1,47,1165,652,338,47,0.509,0.258,0.697,24.8,13.9,7.2,1,2.7,0.111,-1.4,0.2
3,ATL,Luka Doncic,,1,57,1837,1194,415,324,0.434,0.353,0.726,32.2,20.9,7.3,5.7,4.4,0.115,3.9,2.7
4,MEM,Jaren Jackson,Michigan State University,1,58,1515,798,272,64,0.506,0.359,0.766,26.1,13.8,4.7,1.1,3.5,0.111,0.3,0.9
5,DAL,Trae Young,University of Oklahoma,1,62,1897,1105,207,478,0.41,0.33,0.816,30.6,17.8,3.3,7.7,1.5,0.037,-2.5,-0.2
6,ORL,Mohamed Bamba,University of Texas at Austin,1,47,766,292,233,39,0.481,0.3,0.587,16.3,6.2,5,0.8,1.7,0.104,-0.1,0.4
7,CHI,Wendell Carter,Duke University,1,44,1110,455,307,78,0.485,0.188,0.795,25.2,10.3,7,1.8,2,0.084,-0.3,0.5
8,CLE,Collin Sexton,University of Alabama,1,62,1892,934,191,178,0.406,0.392,0.841,30.5,15.1,3.1,2.9,-1.4,-0.036,-6.2,-2
9,NYK,Kevin Knox,University of Kentucky,1,55,1557,688,245,55,0.36,0.33,0.725,28.3,12.5,4.5,1,-1.4,-0.042,-6.5,-1.8
10,PHI,Mikal Bridges,Villanova University,1,62,1735,500,190,121,0.428,0.346,0.779,28,8.1,3.1,2,2.1,0.057,0,0.9
11,CHO,Shai Gilgeous-Alexander,University of Kentucky,1,63,1606,616,167,187,0.459,0.313,0.807,25.5,9.8,2.7,3,1.6,0.047,-1.3,0.3
12,LAC,Miles Bridges,Michigan State University,1,59,1133,391,212,55,0.447,0.311,0.75,19.2,6.6,3.6,0.9,1.6,0.067,-1.8,0.1
13,LAC,Jerome Robinson,Boston College,1,24,223,78,27,8,0.38,0.341,0.667,9.3,3.3,1.1,0.3,0.1,0.021,-4.6,-0.1
14,DEN,Michael Porter,University of Missouri,,,,,,,,,,,,,,,,,
15,WAS,Troy Brown,University of Oregon,1,31,225,77,44,31,0.397,0.263,0.667,7.3,2.5,1.4,1,0.2,0.042,-4.6,-0.1
16,PHO,Zhaire Smith,Texas Tech University,,,,,,,,,,,,,,,,,
17,MIL,Donte DiVincenzo,Villanova University,1,23,358,110,56,27,0.393,0.246,0.818,15.6,4.8,2.4,1.2,0.5,0.06,-1.9,0
18,SAS,Lonnie Walker,University of Miami,1,6,57,14,10,2,0.19,0.333,1,9.5,2.3,1.7,0.3,-0.2,-0.168,-11.7,-0.1
19,ATL,Kevin Huerter,University of Maryland,1,56,1527,513,183,156,0.417,0.389,0.745,27.3,9.2,3.3,2.8,1,0.03,-2.1,0
20,MIN,Josh Okogie,Georgia Institute of Technology,1,54,1231,412,164,61,0.37,0.265,0.742,22.8,7.6,3,1.1,0.6,0.023,-2.4,-0.1
21,UTA,Grayson Allen,Duke University,1,29,286,114,11,18,0.306,0.271,0.711,9.9,3.9,0.4,0.6,-0.2,-0.034,-8.1,-0.4
22,CHI,Chandler Hutchison,Boise State University,1,44,895,229,185,34,0.459,0.28,0.605,20.3,5.2,4.2,0.8,0.6,0.033,-4.1,-0.5
23,IND,Aaron Holiday,"University of California, Los Angeles",1,39,455,209,55,58,0.379,0.299,0.882,11.7,5.4,1.4,1.5,0.5,0.053,-2.9,-0.1
24,POR,Anfernee Simons,,1,12,60,15,7,4,0.28,0,0.25,5,1.3,0.6,0.3,-0.4,-0.293,-16.8,-0.2
25,LAL,Moritz Wagner,University of Michigan,1,23,154,77,35,10,0.431,0.375,0.6,6.7,3.3,1.5,0.4,0.2,0.054,-3.3,0
26,PHI,Landry Shamet,Wichita State University,1,61,1302,520,88,70,0.435,0.404,0.824,21.3,8.5,1.4,1.1,2.5,0.093,-1.3,0.2
27,BOS,Robert Williams,Texas A&M University,1,25,221,70,59,5,0.738,,0.667,8.8,2.8,2.4,0.2,1,0.212,4.8,0.4
28,GSW,Jacob Evans,University of Cincinnati,1,23,99,13,9,13,0.24,0.167,0,4.3,0.6,0.4,0.6,-0.2,-0.117,-11.3,-0.2
29,BRK,Dzanan Musa,,1,8,34,16,4,1,0.4,0,0,4.3,2,0.5,0.1,-0.2,-0.226,-13.4,-0.1
30,ATL,Omari Spellman,Villanova University,1,45,786,263,189,45,0.403,0.347,0.698,17.5,5.8,4.2,1,1.2,0.071,-1,0.2
31,PHO,Elie Okobo,,1,42,778,238,81,108,0.378,0.274,0.829,18.5,5.7,1.9,2.6,-0.6,-0.037,-6.4,-0.9
32,MEM,Jevon Carter,West Virginia University,1,26,384,73,35,45,0.241,0.232,0.615,14.8,2.8,1.3,1.7,-0.6,-0.071,-6.1,-0.4
33,DAL,Jalen Brunson,Villanova University,1,53,997,398,111,134,0.445,0.37,0.686,18.8,7.5,2.1,2.5,1.3,0.062,-3,-0.3
34,ATL,Devonte' Graham,University of Kansas,1,31,403,135,37,68,0.369,0.307,0.727,13,4.4,1.2,2.2,0.4,0.042,-4,-0.2
35,ORL,Melvin Frazier,Tulane University,1,7,32,12,3,0,0.429,0,,4.6,1.7,0.4,0,0,-0.046,-11.7,-0.1
36,NYK,Mitchell Robinson,,1,46,854,302,234,25,0.696,,0.568,18.6,6.6,5.1,0.5,3.8,0.214,6.7,1.9
37,SAC,Gary Trent,Duke University,1,9,38,14,4,1,0.263,0.333,0.25,4.2,1.6,0.4,0.1,-0.1,-0.153,-13.6,-0.1
38,PHI,Khyri Thomas,Creighton University,1,18,158,50,15,5,0.354,0.345,0.667,8.8,2.8,0.8,0.3,0.2,0.052,-3.4,-0.1
39,PHI,Isaac Bonga,,1,8,31,8,6,6,0.2,0,0.571,3.9,1,0.8,0.8,0,-0.025,-3.5,0
40,BRK,Rodions Kurucs,,1,44,890,377,157,36,0.461,0.304,0.877,20.2,8.6,3.6,0.8,1.2,0.066,-2.5,-0.1
41,ORL,Jarred Vanderbilt,University of Kentucky,1,6,18,3,12,1,0.2,,0.25,3,0.5,2,0.2,0,-0.079,-7.6,0
42,DET,Bruce Brown,University of Miami,1,53,1065,249,144,70,0.387,0.267,0.688,20.1,4.7,2.7,1.3,0.8,0.035,-2.5,-0.1
43,DEN,Justin Jackson,University of Maryland,,,,,,,,,,,,,,,,,
44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,BRK,Hamidou Diallo,University of Kentucky,1,45,515,190,94,17,0.466,0.174,0.61,11.4,4.2,2.1,0.4,0.8,0.077,-4.5,-0.3
46,HOU,De'Anthony Melton,University of Southern California,1,35,694,185,89,114,0.371,0.308,0.833,19.8,5.3,2.5,3.3,-0.1,-0.008,-2.7,-0.1
47,LAL,Sviatoslav Mykhailiuk,University of Kansas,1,40,429,130,35,35,0.331,0.322,0.6,10.7,3.3,0.9,0.9,-0.1,-0.013,-5.8,-0.4
48,MIN,Keita Bates-Diop,Ohio State University,1,10,76,19,16,2,0.421,0.111,0.4,7.6,1.9,1.6,0.2,0.1,0.038,-3.9,0
49,SAS,Chimezie Metu,University of Southern California,1,28,140,47,34,13,0.315,0,0.765,5,1.7,1.2,0.5,-0.3,-0.109,-9.1,-0.3
50,IND,Alize Johnson,Missouri State,1,11,32,6,8,0,0.2,0.5,0.25,2.9,0.5,0.7,0,-0.1,-0.098,-16.9,-0.1
51,NOP,Tony Carr,Pennsylvania State University,,,,,,,,,,,,,,,,,
52,UTA,Vince Edwards,Purdue University,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.024,-10.3,0
53,OKC,Devon Hall,University of Virginia,,,,,,,,,,,,,,,,,
54,DAL,Shake Milton,Southern Methodist University,1,13,126,54,20,13,0.435,0.4,0.8,9.7,4.2,1.5,1,0.4,0.141,0.4,0.1
55,CHO,Arnoldas Kulboka,,,,,,,,,,,,,,,,,,
56,PHI,Ray Spalding,University of Louisville,1,1,1,0,0,0,,,,1,0,0,0,0,0.003,-5.8,0
57,OKC,Kevin Hervey,University of Texas at Arlington,,,,,,,,,,,,,,,,,
58,DEN,Thomas Welsh,"University of California, Los Angeles",1,9,33,14,4,4,0.5,0.429,0.5,3.7,1.6,0.4,0.4,0.1,0.136,-3,0
59,PHO,George King,University of Colorado,1,1,6,0,1,0,,,,6,0,1,0,0,-0.001,-10.6,0
60,PHI,Kostas Antetokounmpo,University of Dayton,,,,,,,,,,,,,,,,,
1,PHI,Markelle Fultz,University of Washington,2,33,680,255,113,112,0.414,0.267,0.534,20.6,7.7,3.4,3.4,0.6,0.04,-2.9,-0.2
2,LAL,Lonzo Ball,"University of California, Los Angeles",2,99,3203,993,611,631,0.38,0.315,0.437,32.4,10,6.2,6.4,3.6,0.054,1.1,2.5
3,BOS,Jayson Tatum,Duke University,2,142,4371,2122,789,241,0.466,0.406,0.842,30.8,14.9,5.6,1.7,11.7,0.128,0.3,2.6
4,PHO,Josh Jackson,University of Kansas,2,139,3456,1699,610,263,0.417,0.274,0.648,24.9,12.2,4.4,1.9,-2.3,-0.031,-4.6,-2.3
5,SAC,De'Aaron Fox,University of Kentucky,2,133,3922,1882,424,752,0.434,0.34,0.726,29.5,14.2,3.2,5.7,3.4,0.042,-1.9,0.1
6,ORL,Jonathan Isaac,Florida State University,2,84,2035,675,401,72,0.417,0.316,0.827,24.2,8,4.8,0.9,3,0.07,-0.6,0.7
7,MIN,Lauri Markkanen,University of Arizona,2,107,3296,1788,862,132,0.438,0.367,0.859,30.8,16.7,8.1,1.2,5.8,0.084,-1.7,0.3
8,NYK,Frank Ntilikina,,2,119,2578,704,259,366,0.356,0.307,0.729,21.7,5.9,2.2,3.1,-1.7,-0.032,-4.4,-1.5
9,DAL,Dennis Smith,North Carolina State University,2,112,3277,1632,387,569,0.408,0.319,0.674,29.3,14.6,3.5,5.1,0,0,-2,0
10,SAC,Zach Collins,Gonzaga University,2,125,2097,686,469,108,0.438,0.322,0.736,16.8,5.5,3.8,0.9,3.1,0.07,-1.4,0.3
11,CHO,Malik Monk,University of Kentucky,2,121,1882,982,165,191,0.376,0.334,0.877,15.6,8.1,1.4,1.6,0.3,0.009,-4.2,-1.1
12,DET,Luke Kennard,Duke University,2,115,2362,929,294,187,0.437,0.396,0.825,20.5,8.1,2.6,1.6,3.9,0.08,-1.7,0.2
13,DEN,Donovan Mitchell,University of Louisville,2,136,4553,2924,527,522,0.43,0.336,0.801,33.5,21.5,3.9,3.8,7.9,0.084,0.5,2.9
14,MIA,Bam Adebayo,University of Kentucky,2,130,2718,961,782,225,0.537,0.063,0.723,20.9,7.4,6,1.7,8.7,0.153,1.2,2.2
15,POR,Justin Jackson,University of North Carolina,2,128,2677,832,342,145,0.432,0.324,0.778,20.9,6.5,2.7,1.1,2.7,0.048,-2.8,-0.5
16,CHI,Justin Patton,Creighton University,1,1,4,2,0,0,0.5,,,4,2,0,0,0,0.151,3.3,0
17,MIL,D.J. Wilson,University of Michigan,2,53,626,190,150,31,0.451,0.375,0.4,11.8,3.6,2.8,0.6,1.3,0.097,-1.4,0.1
